L_nt,sigma_deg,k_kBT_per_rad2,k_kcal_per_rad2,k_kcal_per_deg2
10.0,6.235704832,84.42560190771972,50.331912178636266,0.015331977220787394
20.0,3.736856603,235.08904916745942,140.1527630183674,0.04269297304663311
30.0,2.675925874,458.45541543546364,273.31682790653616,0.08325706690117692
40.0,2.272207295,635.8422250188016,379.0693143543782,0.11547111645894742
