theta_deg,r_tip_nm,r_fret_nm,FRET_E_near_crux,plasmon_dlambda_over_lambda_tip
20.0,17.364817766693033,1.8357093067646921,0.9984590407534233,nan
20.30075187969925,17.62322590047217,1.8630267380499153,0.9983164725356057,nan
20.601503759398497,17.881512640424173,1.8903313362734124,0.9981631800433111,nan
20.902255639097746,18.139676207396,1.9176229133532916,0.9979985414062673,nan
21.203007518796994,18.39771482308307,1.944901281297353,0.9978219098476628,nan
21.50375939849624,18.6556267100415,1.9721662522043868,0.9976326132297672,nan
21.804511278195488,18.91341009170034,1.9994176382654643,0.9974299536167879,nan
22.105263157894736,19.17106319237384,2.0266552517652348,0.9972132068567601,nan
22.406015037593985,19.428584237273654,2.0538789050832147,0.9969816221843618,nan
22.706766917293233,19.685971452521063,2.0810884106950835,0.9967344218466262,nan
23.007518796992482,19.943223065159223,2.108283581173975,0.9964708007536145,nan
23.30827067669173,20.200337303165348,2.1354642291917654,0.9961899261561972,nan
23.609022556390975,20.45731239546293,2.162630167520367,0.9958909373531779,nan
23.909774436090224,20.714146571933945,2.189781209033017,0.9955729454300905,nan
24.210526315789473,20.970838063431028,2.216917166705566,0.9952350330320746,nan
24.51127819548872,21.227385101789665,2.2440378536177645,0.9948762541733323,nan
24.81203007518797,21.48378591984039,2.2711430829545556,0.9944956340857438,nan
25.112781954887218,21.740038751420933,2.2982326680073557,0.9940921691093105,nan
25.413533834586467,21.996141831388403,2.3253064221753452,0.9936648266271653,nan
25.714285714285715,22.25209339563144,2.352364158966752,0.9932125450479697,nan
26.015037593984964,22.507891681082366,2.379405692000136,0.9927342338385894,nan
26.315789473684212,22.76353492572934,2.406430835005673,0.99222877361,nan
26.616541353383457,23.019021368628465,2.433439401826438,0.9916950162594425,nan
26.917293233082706,23.274349249915964,2.4604312064196874,0.991131785171892,nan
27.218045112781954,23.52951681082026,2.487406062858142,0.9905378754839553,nan
27.518796992481203,23.784522293674126,2.514363785331265,0.9899120544133425,nan
27.81954887218045,24.039363941926755,2.5413041881465426,0.9892530616570891,nan
28.120300751879697,24.294040000155892,2.568227085730766,0.9885596098617132,nan
28.421052631578945,24.548548714079914,2.595132292631305,0.9878303851684973,nan
28.721804511278194,24.802888330569907,2.62201962351739,0.9870640478370756,nan
29.022556390977442,25.057057097661755,2.6488888931813857,0.9862592329504728,nan
29.32330827067669,25.311053264568194,2.675739916540066,0.9854145512047063,nan
29.62406015037594,25.56487508169089,2.7025725086358943,0.9845285897859962,nan
29.924812030075188,25.81852080063247,2.72938648463829,0.9835999133385575,nan
30.225563909774436,26.071988674208583,2.7561816598449074,0.982627065025838,nan
30.526315789473685,26.325276956459927,2.7829578496829064,0.9816085676879605,nan
30.827067669172934,26.57838390266426,2.8097148697102217,0.9805429250979717,nan
31.127819548872182,26.831307769348467,2.836452535616838,0.979428623319342,nan
31.428571428571427,27.08404681430051,2.863170663226054,0.9782641321669711,nan
31.729323308270676,27.336599296581465,2.889869068495755,0.9770479067737303,nan
32.03007518796993,27.588963476537515,2.91654756751968,0.9757783892643371,nan
32.330827067669176,27.8411376158119,2.9432059765286867,0.9744540105380811,nan
32.631578947368425,28.093119977356938,2.9698441118920194,0.9730731921616226,nan
32.932330827067666,28.34490882544595,2.9964617901185715,0.9716343483727585,nan
33.233082706766915,28.596502425685237,3.023058827858154,0.970135888195686,nan
33.53383458646616,28.847899045026043,3.049635041902753,0.9685762176679132,nan
33.83458646616541,29.099096951776442,3.0761902491877953,0.9669537421785427,nan
34.13533834586466,29.35009441561332,3.102724266793408,0.9652668689172055,nan
34.43609022556391,29.60088970759426,3.1292369119456787,0.9635140094324517,nan
34.73684210526316,29.85148110016945,3.1557280020179133,0.9616935822978883,nan
35.037593984962406,30.10186686719364,3.182197354531899,0.9598040158838272,0.17736212327726117
35.338345864661655,30.352045283937933,3.208644787159153,0.9578437512316456,0.171046559162604
35.6390977443609,30.602014627101763,3.2350701177221866,0.9558112450274678,0.16496087988911307
35.93984962406015,30.851773174824693,3.261473164195753,0.9537049726711814,0.1590965838240894
36.24060150375939,31.10131920669832,3.2878537447081078,0.9515234314361551,0.15344548719282872
36.54135338345864,31.35065100377811,3.3142116775422577,0.9492651437143932,0.14799971211651303
36.84210526315789,31.59976684859525,3.340546781137212,0.9469286603411883,0.1427516751013859
37.14285714285714,31.848665025168437,3.366858874089235,0.9445125639926605,0.13769407596221592
37.44360902255639,32.09734381901576,3.3931477751530945,0.9420154726488956,0.13281988716368262
37.744360902255636,32.345801517166464,3.4194133032433123,0.939436043114696,0.1281223435639418
38.045112781954884,32.59403640817278,3.445655277435408,0.9367729745892845,0.12359493254520632
38.34586466165413,32.842046782121656,3.471873516967147,0.9340250122756116,0.1192313845167571
38.64661654135338,33.08983093064665,3.4980678412397883,0.9311909510192501,0.11502566377633648
38.94736842105263,33.33738714693955,3.524238069819323,0.9282696389662095,0.11097195971641378
39.24812030075188,33.58471372576225,3.5503840224377234,0.9252599812283635,0.10706467836230789
39.54887218045113,33.83180896345845,3.576505518994179,0.9221609435445894,0.10329843422965201
39.849624060150376,34.078671157965374,3.6026023795563393,0.918971555925137,0.09966804248914808
40.150375939849624,34.32529860882554,3.6286744243615576,0.9156909162662233,0.09616851142701298
40.45112781954887,34.57168961719843,3.6547214738181197,0.9123181939213614,0.0927950351899575
40.75187969924812,34.81784248587222,3.6807433485064918,0.9088526332154983,0.08954298680395426
41.05263157894737,35.06375551927544,3.706739869180546,0.9052935568876728,0.0864079114564581
41.35338345864662,35.309427023488695,3.7327108567688048,0.9016403694475867,0.08338552003212954
41.65413533834587,35.554855306256314,3.758656132375667,0.8978925604312594,0.08047168289248761
41.954887218045116,35.800038676997985,3.784575517282644,0.8940497075407666,0.07766242389027811
42.255639097744364,36.044975446820445,3.8104688329495895,0.8901114796529943,0.07495391460968945
42.55639097744361,36.28966392852906,3.836335901015929,0.8860776396823485,0.07234246882388486
42.857142857142854,36.5341024366395,3.8621765433018895,0.8819480472824627,0.0698245371616377
43.1578947368421,36.77828928738932,3.8879905818097282,0.8777226613721392,0.06739670197516975
43.45864661654135,37.02222279874955,3.9137778387249527,0.8734015424710667,0.06505567240158729
43.7593984962406,37.26590129043632,3.939538136417553,0.8689848548312343,0.06279827961059789
44.06015037593985,37.50932308392236,3.965271297443221,0.8644728683504794,0.06062147223146737
44.3609022556391,37.75248650244868,3.990977144544575,0.8598659602551915,0.05852231195243996
44.661654135338345,37.995389871036,4.0166555006523765,0.8551646165399032,0.056497969286103844
44.962406015037594,38.23803151649633,4.042306188886755,0.850369433152301,0.05454571949442586
